Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
11/05/2025 11.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
10/05/2025 18.50.00,Banjir,Bondowoso Kabupaten,Hujan Sedang - Lebat,RENDAH
09/05/2025 16.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
09/05/2025 16.00.00,Banjir,Ponorogo Kabupaten,Hujan Sedang - Lebat,RENDAH
09/05/2025 15.30.00,Banjir,Blitar Kabupaten,Hujan Lebat,RENDAH
09/05/2025 15.30.00,Banjir,Blitar Kabupaten,Hujan Lebat,RENDAH
28/04/2025 18.00.00,Banjir Rob,Probolinggo Kabupaten,Cerah,SEDANG
18/04/2025 12.00.00,Banjir Rob,Situbondo Kabupaten,Berawan,RENDAH
18/04/2025 11.00.00,Banjir,Malang Kabupaten,Hujan,RENDAH
15/04/2025 13.00.00,Banjir,Sampang Kabupaten,Hujan Lebat,RENDAH
14/04/2025 07.28.00,Banjir,Pacitan Kabupaten,Cerah,RENDAH
13/04/2025 14.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
12/04/2025 12.00.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
11/04/2025 17.40.00,Banjir,Pasuruan Kota,Hujan Sedang,RENDAH
11/04/2025 17.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
08/04/2025 19.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
03/04/2025 22.00.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
03/04/2025 17.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
03/04/2025 15.19.00,Banjir,Surabaya Kota,Hujan Lebat,RENDAH
02/04/2025 22.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
02/04/2025 19.00.00,Banjir,Jombang Kabupaten,Hujan,SEDANG
02/04/2025 19.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
02/04/2025 13.00.00,Banjir,Kediri Kabupaten,Hujan Lebat,SEDANG
01/04/2025 16.30.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
01/04/2025 15.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
29/03/2025 22.45.00,Banjir,Madiun Kabupaten,Hujan Sedang,RENDAH
29/03/2025 07.00.00,Banjir,Magetan Kabupaten,Berawan,SEDANG
29/03/2025 04.50.00,Banjir,Ngawi Kabupaten,Hujan,SEDANG
28/03/2025 21.00.00,Banjir,Ponorogo Kabupaten,Hujan Sedang,RENDAH
28/03/2025 19.00.00,Banjir,Ponorogo Kabupaten,Hujan Sedang - Lebat,SEDANG
28/03/2025 17.50.00,Banjir,Pasuruan Kota,Hujan,SEDANG
28/03/2025 16.00.00,Banjir,Ponorogo Kabupaten,Berawan,RENDAH
28/03/2025 15.00.00,Banjir,Pasuruan Kabupaten,Hujan Sedang,SEDANG
28/03/2025 15.00.00,Banjir,Pasuruan Kabupaten,Hujan Sedang,RENDAH
27/03/2025 17.00.00,Banjir,Tulungagung Kabupaten,Hujan Sedang,RENDAH
27/03/2025 16.00.00,Banjir,Lumajang Kabupaten,Hujan lebat,RENDAH
26/03/2025 19.00.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,RENDAH
19/03/2025 16.30.00,Banjir,Tuban Kabupaten,Hujan Lebat,RENDAH
17/03/2025 20.30.00,Banjir,Ponorogo Kabupaten,Hujan sedang - lebat,SEDANG
17/03/2025 20.00.00,Banjir,Pasuruan Kabupaten,Hujan,SEDANG
17/03/2025 20.00.00,Banjir,Ponorogo Kabupaten,Hujan Sedang,SEDANG
17/03/2025 19.30.00,Banjir,Ponorogo Kabupaten,Hujan Sedang - Tinggi,RENDAH
17/03/2025 19.30.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Berawan - Hujan,RENDAH
16/03/2025 23.30.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
16/03/2025 18.41.00,Banjir,Surabaya Kota,Hujan Lebat,RENDAH
