TANGGAL,RR
5/5/2024,0
6/5/2024,0
7/5/2024,0
8/5/2024,0
9/5/2024,0
10/5/2024,0
11/5/2024,0
12/5/2024,0
13-05-2024,0
14-05-2024,0
15-05-2024,0
16-05-2024,0
17-05-2024,0
18-05-2024,0
19-05-2024,2.5
20-05-2024,0
21-05-2024,0
22-05-2024,0
23-05-2024,0
24-05-2024,0
25-05-2024,0
26-05-2024,0
27-05-2024,0
28-05-2024,0
29-05-2024,0
30-05-2024,0
31-05-2024,0
1/6/2024,0
2/6/2024,21.4
3/6/2024,0
4/6/2024,0
5/6/2024,0
6/6/2024,0
7/6/2024,0
8/6/2024,0
9/6/2024,0.3
10/6/2024,-
11/6/2024,0
12/6/2024,-
13-06-2024,-
14-06-2024,0
15-06-2024,2.2
16-06-2024,0
17-06-2024,0
18-06-2024,0
19-06-2024,0
20-06-2024,0
21-06-2024,0
22-06-2024,0
23-06-2024,0
24-06-2024,0
25-06-2024,0
26-06-2024,-
27-06-2024,0
28-06-2024,0
29-06-2024,0
30-06-2024,1.6
1/7/2024,0
2/7/2024,0
3/7/2024,1.8
4/7/2024,0
5/7/2024,0
6/7/2024,0
7/7/2024,0
8/7/2024,0
9/7/2024,0
10/7/2024,0
11/7/2024,0
12/7/2024,0
13-07-2024,0
14-07-2024,0
15-07-2024,0
16-07-2024,0
17-07-2024,0
18-07-2024,0
19-07-2024,0
20-07-2024,0
21-07-2024,0
22-07-2024,0
23-07-2024,0
24-07-2024,0
25-07-2024,0
26-07-2024,0
27-07-2024,0
28-07-2024,0
29-07-2024,0
30-07-2024,1.6
31-07-2024,0.2
1/8/2024,53.9
2/8/2024,10.1
3/8/2024,4.4
4/8/2024,0
5/8/2024,0
6/8/2024,0
7/8/2024,0
8/8/2024,5.1
9/8/2024,0
10/8/2024,0
11/8/2024,0
12/8/2024,0
13-08-2024,0
14-08-2024,0
15-08-2024,0
16-08-2024,0
17-08-2024,0
18-08-2024,0
19-08-2024,0
20-08-2024,0
21-08-2024,0
22-08-2024,0
23-08-2024,0
24-08-2024,0
25-08-2024,0
26-08-2024,0
27-08-2024,0
28-08-2024,0
29-08-2024,0
30-08-2024,0
31-08-2024,0
1/9/2024,0
2/9/2024,0
3/9/2024,0
4/9/2024,0
5/9/2024,0
6/9/2024,0
7/9/2024,0
8/9/2024,0
9/9/2024,5.2
10/9/2024,2
11/9/2024,0
12/9/2024,0
13-09-2024,0
14-09-2024,0
15-09-2024,0
16-09-2024,0
17-09-2024,0
18-09-2024,0
19-09-2024,0
20-09-2024,0
21-09-2024,0
22-09-2024,0
23-09-2024,0
24-09-2024,0
25-09-2024,27.4
26-09-2024,4.8
27-09-2024,0
28-09-2024,5
29-09-2024,0
30-09-2024,0
1/10/2024,1.8
2/10/2024,0
3/10/2024,0
4/10/2024,0.2
5/10/2024,0
6/10/2024,0
7/10/2024,0
8/10/2024,15.8
9/10/2024,0
10/10/2024,0
11/10/2024,0
12/10/2024,0
13-10-2024,0
14-10-2024,0
15-10-2024,0.7
16-10-2024,0
17-10-2024,0
18-10-2024,0
19-10-2024,0
20-10-2024,0
21-10-2024,105.4
22-10-2024,2.5
23-10-2024,1.3
24-10-2024,0
25-10-2024,48
26-10-2024,0.4
27-10-2024,0
28-10-2024,0
29-10-2024,0.4
30-10-2024,0.8
31-10-2024,0
1/11/2024,0
2/11/2024,2.6
3/11/2024,0.4
4/11/2024,0
5/11/2024,0
6/11/2024,0.8
7/11/2024,0
8/11/2024,0
9/11/2024,29.2
10/11/2024,5.2
11/11/2024,4.8
12/11/2024,0
13-11-2024,0
14-11-2024,0
15-11-2024,10.5
16-11-2024,0
17-11-2024,0
18-11-2024,17.1
19-11-2024,6.8
20-11-2024,5
21-11-2024,5
22-11-2024,0
